_id,geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
32,04000US05,Arkansas,2013,19.67985,0.3471075,,,,,16.143148,2.7787554,35.010571,1.0905267,33.814003,2.1458681,18.629137,0.40580812,,,14.892938,0.35278046,33.164009,1.6532398,37.197269,4.8504796,34.186192,2.9056635,31.1133,3.1036656,15.869173,0.37030685
33,04000US05,Arkansas,2014,18.866083,0.32541433,15.688868,3.9933243,,,16.938362,3.3843708,33.164116,1.0885458,31.332817,1.8982502,17.927736,0.37808108,,,14.526257,0.38895547,30.967003,1.6406933,27.600107,2.5317271,27.505419,2.0394337,27.431473,3.0462713,15.660625,0.37703204
34,04000US05,Arkansas,2015,19.06629,0.36768267,20.037743,4.8348622,,,14.708861,2.3599358,33.857216,1.4006474,33.058277,2.216825,18.001429,0.4303889,,,14.501355,0.31788877,31.50913,1.6175352,33.540768,4.0542898,29.963585,2.4263208,26.322041,2.5881574,15.521866,0.32503846
35,04000US05,Arkansas,2016,17.222792,0.37153193,25.185833,3.7227936,,,14.568745,2.6794748,28.866434,1.2422223,26.689014,1.954339,16.482164,0.42885998,,,13.722019,0.38983059,26.701876,1.7341495,30.540264,3.6020403,27.641668,2.1903477,24.383101,2.2905681,14.137978,0.37156457
36,04000US05,Arkansas,2017,16.40303,0.35488397,25.651772,3.6970663,,,13.487116,2.7037737,27.575285,1.211769,23.178288,1.7347504,15.848168,0.40943873,,,13.308181,0.40117195,24.561941,1.6672995,27.559631,2.9357295,23.286272,1.8450031,18.594521,2.0573392,13.593963,0.41313195
37,04000US06,California,2009,14.166615,0.10229518,22.8528,1.3863906,10.450563,0.22647865,10.390045,0.22840524,20.845463,0.61396325,20.6476,0.22239888,10.345345,0.208955,12.51008,1.5834239,8.6747417,0.10594572,18.060976,0.1902135,21.859426,0.35583869,19.807577,0.30051333,12.333226,0.46256626,12.615569,0.14005139
38,04000US06,California,2010,15.803526,0.12346949,24.763134,1.4271947,11.739753,0.25401592,11.623777,0.25503844,22.648052,0.4814373,22.906031,0.25804165,11.484196,0.25312907,15.733747,1.9608498,9.6301031,0.12100346,19.92561,0.22112487,25.32357,0.37373456,22.891611,0.31753308,15.289103,0.55992758,13.980515,0.13607162
39,04000US06,California,2011,16.563301,0.11821722,25.524723,1.4200239,12.578861,0.25163272,12.424576,0.25468478,25.041515,0.51926333,23.374229,0.24439594,12.355296,0.24372058,17.830738,1.5845034,10.1574,0.12973385,20.762005,0.21330051,25.732752,0.4503651,23.439537,0.36234504,16.596001,0.50149721,14.706514,0.14415619
40,04000US06,California,2012,16.956476,0.10482167,25.586943,1.5616111,12.464519,0.24702887,12.345054,0.25014892,26.123978,0.53133017,23.949532,0.20228046,12.618968,0.21120898,16.668179,1.5518143,10.46601,0.12497072,21.145422,0.19032633,26.538689,0.41301292,24.062645,0.33370826,16.779791,0.49185231,15.022685,0.13254257
41,04000US06,California,2013,16.835073,0.10448568,24.023796,0.97174776,12.08186,0.20642592,11.965555,0.20687605,26.017633,0.46416298,23.422674,0.20988232,12.715621,0.21468215,16.389456,1.7044239,10.780005,0.11176417,20.686554,0.18507218,25.311396,0.35802832,23.021324,0.29616031,16.400682,0.48218536,15.233727,0.13484807
42,04000US06,California,2014,16.445246,0.10294116,23.503798,1.4156781,11.911358,0.22429405,11.783696,0.22576597,25.380882,0.51873082,22.826403,0.20013638,12.415155,0.21024372,16.51985,1.6670659,10.457868,0.11407375,20.162525,0.18119912,24.249557,0.41474235,22.018892,0.33814627,15.552783,0.52862668,14.988859,0.12385205
43,04000US06,California,2015,15.343688,0.1057856,22.599766,1.3487543,11.51796,0.23192945,11.405277,0.23490232,22.481445,0.42592931,21.028765,0.21018511,11.731377,0.21858963,15.533455,1.4386203,10.03633,0.11649012,18.579828,0.18445466,21.988302,0.39622915,20.102119,0.31745434,14.366351,0.42114794,14.107363,0.12567146
44,04000US06,California,2016,14.347071,0.10501862,23.620125,1.3017281,11.403535,0.23634644,11.311875,0.23663074,21.809736,0.47722608,19.117126,0.20664418,11.29611,0.21710031,14.865004,2.0108526,9.4964828,0.12484791,17.262577,0.18407138,20.735744,0.3357479,18.962032,0.27654827,13.591475,0.43907812,12.77479,0.13672681
45,04000US06,California,2017,13.301895,0.11272883,19.544006,1.1980283,10.323352,0.19737093,10.266735,0.19934455,20.861877,0.54494679,17.445084,0.20609638,10.629354,0.22819762,12.468102,1.3603803,9.0328875,0.12391596,15.808124,0.19309807,17.974195,0.33515158,16.620337,0.27293524,12.460342,0.41556087,12.136023,0.13138245
46,04000US08,Colorado,2009,12.901752,0.2673254,19.126554,2.3815181,,,8.6670732,1.0927531,25.45248,1.7530242,26.374388,1.0065154,9.4911671,0.42099637,,,8.5166321,0.22007607,23.486454,1.0549866,25.563091,2.2744932,21.566214,1.4535704,15.800947,1.1724253,11.618343,0.29883224
47,04000US08,Colorado,2010,13.371751,0.28344765,25.900537,3.5750639,,,10.639658,1.3030469,25.708775,1.61086,24.918947,0.78803265,10.371801,0.41180164,,,9.322937,0.24368216,22.928198,1.1119534,27.562887,1.3823752,23.791426,1.0398407,17.471397,1.4087121,11.629727,0.29004991
48,04000US08,Colorado,2011,13.478165,0.26270667,28.184677,3.3083887,,,10.714995,1.1838818,27.319702,2.2448354,24.274059,0.92047501,10.621634,0.41201141,,,9.4374638,0.23356523,22.83214,1.0242966,28.439718,1.9989046,24.281925,1.3602194,18.799568,1.6030669,11.791589,0.25367507
49,04000US08,Colorado,2012,13.707483,0.24468061,27.388275,2.2552025,,,11.60543,1.5898285,29.666,2.2137501,24.755938,0.79646325,10.783491,0.3745161,,,9.4354343,0.19170842,23.524847,0.91857517,31.496805,2.0467944,24.751427,1.324221,16.048119,1.3195239,11.881432,0.26917741
50,04000US08,Colorado,2013,12.95644,0.25325614,21.070917,3.4041138,,,11.101265,1.2406002,23.590508,1.5067077,23.006596,0.82429594,10.283358,0.38848695,,,9.3330317,0.23795837,21.166393,0.98672581,27.520075,1.814833,22.528025,1.2288936,15.854774,1.4562985,11.502021,0.26545829
51,04000US08,Colorado,2014,12.044454,0.24533351,21.430176,3.0400653,,,10.217776,1.074873,21.893465,1.6806893,20.809708,0.76634318,9.6920776,0.37307051,,,8.6803961,0.21230623,19.545715,0.92271256,23.437515,2.0702972,19.748066,1.234284,15.328521,0.99416322,10.84132,0.28039083
52,04000US08,Colorado,2015,11.490503,0.23337354,21.539412,3.2761238,,,14.563361,1.2717662,19.913807,1.7443551,19.3666,0.79329854,9.3541517,0.36655638,,,8.2478609,0.18398926,18.569424,0.84393483,18.65127,1.4730647,16.415928,0.96913248,13.966584,1.2058527,10.417853,0.23142377
53,04000US08,Colorado,2016,11.046124,0.20120376,23.401346,2.839891,,,10.551604,1.0239737,19.512503,1.3441803,17.86808,0.74158925,9.2004251,0.32502252,,,8.2983799,0.2047786,17.074797,0.78388977,16.020897,1.1545439,15.48845,0.89568132,14.820025,1.4035987,10.095816,0.21471667
54,04000US08,Colorado,2017,10.291835,0.19091536,17.151556,2.0380383,,,9.1706934,1.0314602,15.327497,1.4014506,15.64965,0.67020988,8.8187551,0.30532506,,,8.237545,0.17539039,14.710867,0.70975405,16.503595,1.5523934,15.507516,1.0072368,14.367652,1.2268834,9.544611,0.23517485
55,04000US09,Connecticut,2009,9.4006834,0.28791744,,,,,5.2229013,1.1584988,19.890688,1.4243156,26.026361,1.2351844,7.0622711,0.37162542,,,5.554472,0.24436072,19.830282,1.2559931,31.449917,2.2830303,26.452002,1.7556244,14.671861,2.0779207,6.7229719,0.2640352
56,04000US09,Connecticut,2010,10.099433,0.2777451,,,,,8.640398,1.2816688,22.104906,1.455596,23.620668,1.1684498,7.9918652,0.3692154,,,5.9406843,0.2432567,20.400759,1.1363947,29.087263,2.003103,24.555599,1.4894425,14.949973,1.7253224,7.223002,0.26177961
57,04000US09,Connecticut,2011,10.88357,0.2982485,,,,,8.7164593,1.5550846,22.934904,1.5388286,27.34519,1.1944597,8.2353201,0.39609587,,,6.244617,0.24365641,22.1856,1.183565,32.773354,2.2271407,27.88665,1.6710145,16.911835,1.8639716,7.7382746,0.28691426
58,04000US09,Connecticut,2012,10.68803,0.24896224,,,,,5.5790796,0.89981842,24.016916,1.4806507,27.597368,1.0160363,7.8798809,0.33588618,,,5.8078723,0.21774422,22.156765,0.97741354,29.449133,2.0581751,25.206736,1.4704375,17.779675,1.6348736,7.9186397,0.25691456
59,04000US09,Connecticut,2013,10.727751,0.25674155,,,,,11.120301,1.3579649,20.026579,1.2740043,25.673346,1.0677167,8.1609802,0.35246924,,,6.1382651,0.2538265,21.184736,1.0202668,27.52116,1.8325021,25.875149,1.4769216,22.971228,2.4728773,7.9232512,0.26283076
60,04000US09,Connecticut,2014,10.751919,0.28545806,,,,,6.5275402,0.80697292,20.778326,1.1497672,26.47995,1.2608263,7.9534998,0.4043369,,,6.0791202,0.2159792,21.023228,1.0281577,28.604586,2.0011165,24.944092,1.5278918,17.782129,2.1653426,8.0747738,0.28561059
61,04000US09,Connecticut,2015,10.540539,0.27570996,,,,,7.2705665,0.88514912,20.470459,1.2738137,24.933886,1.0973383,7.895679,0.38373911,,,6.0639877,0.21661294,20.094416,0.97907579,28.417894,2.4721713,24.328072,1.6632866,17.974386,1.646821,7.8923044,0.22248854
62,04000US09,Connecticut,2016,9.7745104,0.25657758,,,,,8.3921175,1.1279875,17.830446,1.0615442,20.430515,1.114995,7.777761,0.36949673,,,5.9325314,0.22498974,17.798128,0.92049176,22.896826,2.0646281,20.65349,1.5316883,17.251448,2.2304194,7.6546659,0.25705391
63,04000US09,Connecticut,2017,9.5942545,0.32712471,,,,,9.6489534,1.2358192,15.67027,1.3572593,21.015285,1.1421937,7.3747783,0.44938576,,,5.9527893,0.22843906,16.890759,1.0834624,26.659567,2.35548,21.546013,1.6262534,13.094638,1.6769837,7.3624582,0.2599853
64,04000US10,Delaware,2009,10.830898,0.69390118,,,,,,,17.958553,1.8398046,23.27257,2.8626363,9.864707,0.78019071,,,7.5609522,0.64790338,17.641415,2.5280919,,,,,,,8.6209755,0.68299389
